treatment,age,photo,spat_diameter,cor_diameter,polyp_distance,diameter:distance,new_polyps,n_new_polyps,septa_photo,septa_width1,septa_width2,septa_width3
SD,8,e36,2853.329,682.844,,,0,0,e37,38.989,46.314,48.759
SD,8,e33,2137.126,654.443,,,0,0,e34,41.16,51.603,45.768
SD,8,d28,2561.373,648.788,,,0,0,d29,37.426,43.105,53.714
SD,8,c25,1831.317,655.185,,,0,0,c26,44.364,53.349,33.04
SD,8,a21,1796.177,735.169,,,0,0,a76,43.733,31.597,32.78
SD,60,f08,2475.57,678.839,360.28,1.884,1,2,f09,41.944,50.525,39.117
SD,60,e06,2479.731,667.609,293.998,2.271,1,4,e06,53.224,65.333,33.965
SD,60,d02,2502.016,628.328,288.368,2.179,1,4,d02,50.632,48.594,40.856
SD,60,c01,3103.417,650,351.573,1.849,1,5,c01,44.557,36.433,35.241
SD,60,b99,2606.76,580.567,389.471,1.491,1,6,b00,42.749,36.122,42.393
SD,60,a94,3201.493,739.659,502.027,1.473,1,6,a95,36.122,43.014,45.828
SD,60,i89,2410.236,673.804,255.017,2.642,1,4,i90,35.166,50.917,38.062
SD,60,h85,2913.206,742.183,319.438,2.323,1,4,h86,37.787,31.771,36.331
SS,8,f63,2237.428,587.548,,,0,0,f64,32.742,26.782,40.477
SS,8,e59,2569.718,544.41,,,0,0,e61,32.653,35.455,25.399
SS,8,c50,2453.666,574.547,,,0,0,c52,29.845,39.46,45.422
SS,8,a43,2477.499,688.34,,,0,0,a44,38.217,35.896,24.504
SS,60,f79,2588.092,637.252,284.886,2.237,1,6,f80,42.749,41.854,34.513
SS,60,g82,2061.172,620.787,334.34,1.857,1,3,g83,50.092,41.854,38.161
SS,60,e75,2389.143,568.918,301.02,1.89,1,6,e76,50.469,34.486,41.238
SS,60,d73,2425.627,560.764,296.032,1.894,1,6,d71,41.307,40.074,35.085
SS,60,c67,3037.173,678.091,377.261,1.797,1,6,c68,45.433,43.19,41.307
SS,60,b64,2436.609,653.595,288.368,2.267,1,4,b65,45.433,46.748,42.86