sample,age,depth,age_depth,orig_depth,trans_depth
FPM.SD60_c,60day,mesophotic,SD60,shallow,mesophotic
FPM.SD60_d,60day,mesophotic,SD60,shallow,mesophotic
FPM.SD60_e,60day,mesophotic,SD60,shallow,mesophotic
FPM.SD8_a,8day,mesophotic,SD8,shallow,mesophotic
FPM.SD8_b,8day,mesophotic,SD8,shallow,mesophotic
FPM.SD8_c,8day,mesophotic,SD8,shallow,mesophotic
FPM.Ad76,adult,mesophotic,m_ad,mesophotic,mesophotic
FPM.Ad77,adult,mesophotic,m_ad,mesophotic,mesophotic
FPM.Ad78,adult,mesophotic,m_ad,mesophotic,mesophotic
FPM.DeP_a,planulae,mesophotic,m_pl,mesophotic,mesophotic
FPM.DeP_c,planulae,mesophotic,m_pl,mesophotic,mesophotic
FPM.DeP_e,planulae,mesophotic,m_pl,mesophotic,mesophotic
FPM.SS60_b,60day,shallow,SS60,shallow,shallow
FPM.SS60_c,60day,shallow,SS60,shallow,shallow
FPM.SS60_e,60day,shallow,SS60,shallow,shallow
FPM.SS8_a,8day,shallow,SS8,shallow,shallow
FPM.SS8_b,8day,shallow,SS8,shallow,shallow
FPM.SS8_c,8day,shallow,SS8,shallow,shallow
FPM.Ad85,adult,shallow,s_ad,shallow,shallow
FPM.Ad86,adult,shallow,s_ad,shallow,shallow
FPM.Ad87,adult,shallow,s_ad,shallow,shallow
FPM.ShP_b,planulae,shallow,s_pl,shallow,shallow
FPM.ShP_c,planulae,shallow,s_pl,shallow,shallow
FPM.ShP_d,planulae,shallow,s_pl,shallow,shallow