id,chl,protein,cells,treatment
SS8a,48.5239159,84.72535741,10954.3,SS8
SS8b,26.4357157,106.9726611,10675.8,SS8
SS8c,20.3698098,124.9059443,9747.5,SS8
SD8a,88.9511592,137.6975169,6684,SD8
SD8b,76.613958,141.158766,7728.4,SD8
SD8c,93.103023,129.9222473,7161.4,SD8
SS60a,59.9127127,15.8013544,14853.3,SS60
SS60b,6.75027027,61.32430399,11557.8,SS60
SS60c,31.0553754,56.43340858,11662.2,SS60
SD60a,584.831471,223.0060196,19379,SD60
SD60b,388.25962,197.2661149,19340.3,SD60
SD60c,456.45005,221.7205919,20144.8,SD60